School Year,School Authority Category,School Authority Name,School Authority Code,Ungraded,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
1998/1999,Public,Grasslands Regional Division No. 6 ,2045,,251,283,254,275,280,328,280,298,317,305,323,325,290,3809
1998/1999,Public,Wetaskiwin Regional Division No. 11 ,2115,31,273,392,355,376,340,360,362,385,373,333,373,364,400,4717
1998/1999,Public,Aspen View Regional Division No. 19 ,2125,,224,289,289,296,269,283,275,259,327,313,311,254,269,3658
1998/1999,Public,Wolf Creek Regional Division No. 32 ,2145,,48,483,492,530,533,542,534,703,572,588,606,587,515,6733
1998/1999,Public,Golden Hills Regional Division No. 15 ,2155,,407,513,496,489,465,517,493,484,550,503,540,484,462,6403
1998/1999,Public,St. Paul Education Regional Division No. 1 ,2185,,285,322,306,315,309,297,321,343,333,314,321,300,285,4051
1998/1999,Public,Elk Island Public Schools Regional Division No. 14 ,2195,,998,1100,1089,1119,1178,1161,1139,1294,1249,1260,1358,1296,1500,15741
1998/1999,Public,Chinook's Edge Regional Division No. 5 ,2225,,316,899,849,882,942,891,907,888,890,729,757,765,662,10377
1998/1999,Public,Black Gold Regional Division No. 18 ,2245,,596,668,627,651,624,671,644,669,721,725,743,701,862,8902
1998/1999,Public,Palliser Regional Division No. 26 ,2255,,234,323,322,328,319,304,331,289,323,332,313,303,340,4061
1998/1999,Public,Northern Gateway Regional Division No. 10 ,2275,,391,427,459,465,446,449,420,486,454,459,484,411,407,5758
1998/1999,Public,Battle River Regional Division No. 31 ,2285,,312,569,575,573,571,615,584,603,678,674,644,670,706,7774
1998/1999,Public,Parkland School Division No. 70 ,2305,174,613,679,680,700,737,722,680,759,772,802,753,680,862,9613
1998/1999,Public,Edmonton School District No. 7 ,3020,933,5741,5715,5904,5853,5750,5742,5631,5944,6064,6068,6280,5825,7930,79380
1998/1999,Public,Calgary School District No. 19 ,3030,,6552,7202,7331,7574,7513,7533,7527,7511,7753,7747,8866,8299,9809,101217
1998/1999,Public,Lethbridge School District No. 51 ,3040,,561,567,542,569,573,535,560,647,596,624,739,694,760,7967
1998/1999,Public,Medicine Hat School District No. 76 ,3050,,377,533,460,524,492,465,443,543,473,526,559,576,572,6543
1998/1999,Public,Canadian Rockies Regional Division No. 12 ,3065,,225,262,224,197,243,190,209,211,201,207,206,185,203,2763
1998/1999,Public,Red Deer School District No. 104 ,3070,1,665,649,666,649,636,717,636,714,723,780,854,762,856,9308
1998/1999,Public,Lloydminster Public School Division ,3170,,155,166,133,160,132,129,139,128,109,122,248,251,303,2175
1998/1999,Public,Grande Prairie School District No. 2357 ,3240,115,381,344,327,325,350,339,368,378,406,374,629,442,449,5227
1998/1999,Public,Fort McMurray School District No. 2833 ,3260,,283,354,318,337,304,349,329,380,380,402,442,435,448,4761
1998/1999,Public,Peace Wapiti Regional Division No. 33 ,3345,,395,457,427,453,469,466,429,512,505,505,495,371,402,5886
1998/1999,Public,Greater St. Albert Catholic Regional Division No. 29 ,4077,,571,551,543,547,557,568,574,603,627,634,581,479,633,7468
1998/1999,Separate,Edmonton Catholic Regional Division No. 40 ,0018,,2358,2465,2552,2544,2484,2544,2380,2418,2490,2435,2665,2354,2776,32465
1998/1999,Separate,Red Deer Catholic Regional Division No. 39 ,0019,,311,366,311,327,351,324,306,364,353,296,381,292,309,4291
1998/1999,Separate,St. Thomas Aquinas Roman Catholic Separate Regional Division No. 38 ,0020,,166,199,176,220,180,209,200,224,224,148,93,69,73,2181
1998/1999,Separate,Holy Family Catholic Regional Division No. 37 ,0021,,191,212,196,179,195,175,193,219,229,224,190,160,132,2495
1998/1999,Separate,Elk Island Catholic Separate Regional Division No. 41 ,0046,,428,431,425,426,446,432,414,419,379,395,307,314,340,5156
1998/1999,Separate,Living Waters Catholic Regional Division No. 42 ,0047,,203,184,202,193,198,220,178,220,152,162,141,88,66,2207
1998/1999,Separate,Evergreen Catholic Separate Regional Division No. 2 ,0048,,161,167,178,167,193,184,160,169,174,163,178,157,152,2203
1998/1999,Separate,Calgary Roman Catholic Separate School District No. 1 ,4010,,3104,3497,3495,3662,3566,3468,3363,3176,3173,3098,2981,2785,2966,42334
1998/1999,Separate,Lakeland Roman Catholic Separate School District No. 150 ,4105,,203,219,199,186,184,177,180,134,163,142,147,142,126,2202
1998/1999,Separate,Grande Prairie Roman Catholic Separate School District No. 28 ,4130,,274,305,283,285,269,256,251,227,238,233,202,169,184,3176
1998/1999,Separate,Fort McMurray Roman Catholic Separate School District No. 32 ,4160,,308,279,305,294,314,285,277,262,298,265,258,258,283,3686
1998/1999,Separate,Christ the Redeemer Catholic Separate Regional Division No. 3 ,4208,,233,351,303,313,309,312,315,326,312,275,209,151,115,3524
1998/1999,Separate,East Central Alberta Catholic Separate Schools Regional Division No. 16 ,4330,,85,310,285,335,310,380,298,280,309,294,292,221,195,3594
1998/1999,Separate,Holy Spirit Roman Catholic Separate Regional Division No. 4 ,4481,,388,372,366,345,383,363,337,361,351,355,315,306,298,4540
1998/1999,Separate,Medicine Hat Catholic Separate Regional Division No. 20 ,4501,,168,212,185,223,192,174,179,201,195,170,190,174,168,2431
1998/1999,Separate,Lloydminster Roman Catholic Separate School Division ,4870,,67,74,61,63,70,53,63,45,66,58,45,48,37,750
1998/1999,Separate,St. Albert Protestant Separate School District No. 6 ,7020,,369,429,467,439,441,477,478,484,493,507,572,555,763,6474
1998/1999,Francophone,North Central Francophone Education Region No. 4 ,8040,,186,144,119,154,123,100,121,83,105,77,57,48,44,1361
1998/1999,Francophone,Northwest Francophone Education Region No. 1 ,8050,,16,21,24,16,21,17,16,22,19,15,13,18,24,242
1998/1999,Francophone,East Central Francophone Education Region No. 3 ,8060,,51,56,44,45,47,43,44,29,25,31,21,10,4,450
1998/1999,Charter,Foundations for the Future Charter Academy Charter School Society ,0009,,29,25,25,25,25,25,25,23,24,24,,,,250
1998/1999,Charter,Suzuki Charter School Society ,0012,,15,17,18,17,14,10,8,,,,,,,99
1998/1999,Charter,Moberly Hall School Society ,0027,,,6,6,9,12,7,6,12,10,4,,2,1,75
1998/1999,Charter,Education for the Gifted Society of Strathcona County ,6015,,12,12,9,14,14,19,15,9,7,8,,,,119
1998/1999,Charter,Action for Bright Children (Calgary Society) ,6016,,28,62,80,63,40,35,,,,,,,,308
1998/1999,Charter,The Boyle Street Education Centre ,6017,,,,,,,,,,,,91,15,,106
1998/1999,Charter,CAPE - Centre for Academic and Personal Excellence Institute ,6019,,,13,16,16,17,17,11,13,15,,,,,118
1998/1999,Charter,Aurora Charter School Ltd. ,6020,,37,44,44,45,22,23,44,42,21,21,,,,343
1998/1999,Charter,Almadina School Society ,6021,,,34,42,30,38,27,25,43,28,31,,,,298
1998/1999,Private,The Chinese Academy Foundation ,0010,,,,,,,,,,,,1,1,4,6
1998/1999,Private,Joshua Christian School Society ,0011,,15,14,12,5,7,6,7,11,11,6,1,1,3,99
1998/1999,Private,Integro Youth Counselling Services ,0013,,,,,,,,,,,,20,9,1,30
1998/1999,Private,Webber Academy Foundation ,0015,,20,25,39,25,27,17,7,,,,,,,160
1998/1999,Private,Tween Valley Fellowship Incorporation ,0016,,,9,10,8,7,6,10,4,4,4,1,,,63
1998/1999,Private,Master's Academy Educational Society ,0022,,33,34,39,45,34,43,49,49,37,42,,,,405
1998/1999,Private,Third Academy International Ltd. ,0023,,3,3,2,8,8,2,6,7,3,,,,,42
1998/1999,Private,Janus Academy Society ,0025,,,5,8,,,,,,,,,,,13
1998/1999,Private,Strome Early Childhood Services Society ,0028,,5,,,,,,,,,,,,,5
1998/1999,Private,Independent Baptist Christian Education Society ,0030,,1,7,3,2,6,3,4,4,3,4,3,5,1,46
1998/1999,Private,Montessori Education Preschool & ECS Institute of Alberta ,0031,,15,,,,,,,,,,,,,15
1998/1999,Private,Four Directions Foster Parent Association of Calgary ,0032,,23,,,,,,,,,,,,,23
1998/1999,Private,Mountain View Academy Society ,0035,,14,4,4,3,,,,,,,,,,25
1998/1999,Private,The Timothy Centre for Scholarship Ltd. ,0040,,,2,2,2,3,4,7,4,5,3,2,2,1,37
1998/1999,Private,Family Linkages Foundation of Alberta ,0049,,9,,,,,,,,,,,,,9
1998/1999,Private,German Saturday School Society of Edmonton ,0050,,,,,,,,,,,,4,,,4
1998/1999,Private,Academic Express (Society for the Promotion of Education for Adults) ,0051,,,,,,,,,,,,1,,8,9
1998/1999,Private,Sino-Canada Culture Association ,0055,,,,,,,,,,,,,,1,1
1998/1999,Private,Heritage Christian Academy Foundation ,0057,,14,23,21,23,17,19,25,17,22,17,14,15,21,248
1998/1999,Private,Montessori Elementary Institute of Southeastern Alberta ,0058,,,9,,,,,,,,,,,,9
1998/1999,Private,Children's Education Society ,0060,,11,,,,,,,,,,,,,11
1998/1999,Private,Banbury Crossroads School Society ,0062,,2,3,2,1,3,1,1,1,2,2,6,4,3,31
1998/1999,Private,"St. Matthew Evangelical Lutheran Church of Stony Plain, Alberta ",9018,,15,6,9,6,8,10,6,5,10,5,,,,80
1998/1999,Private,The Rocky Christian School Society ,9022,,18,15,12,16,12,22,30,13,21,15,,,,174
1998/1999,Private,Canadian University College ,9024,,,,,,,,,,,,36,53,61,150
1998/1999,Private,The Lacombe Christian School Society ,9025,,39,34,38,40,27,48,40,53,43,42,,,,404
1998/1999,Private,Red Deer Christian School Society ,9026,,31,17,18,21,18,22,25,14,16,17,,,,199
1998/1999,Private,Parkland Community Living and Supports Society ,9027,46,,,,,,,,,,1,1,1,1,50
1998/1999,Private,Horizon School Committee ,9031,,4,1,2,1,3,3,1,3,2,3,1,2,5,31
1998/1999,Private,Prairie Bible Institute ,9038,,18,26,27,24,28,36,31,28,28,33,54,61,55,449
1998/1999,Private,The Society for Christian Education in Southern Alberta ,9041,,42,50,57,52,54,43,56,49,75,56,71,48,45,698
1998/1999,Private,Coaldale Canadian Reformed School Society ,9042,,13,11,17,12,11,13,12,13,15,17,1,4,,139
1998/1999,Private,Cornerstone Christian School ,9045,,9,5,3,2,4,1,6,1,,,,,,31
1998/1999,Private,The Edmonton Society for Christian Education ,9046,,55,47,68,64,60,68,56,51,69,66,50,55,51,760
1998/1999,Private,The German Canadian Association of Alberta ,9049,,,,,,,,,,,,2,,,2
1998/1999,Private,Concordia University College of Alberta ,9052,,,,,,,,,,,,69,46,108,223
1998/1999,Private,Alberta College (ASN) ,9058,,,,,,,,,,,,210,225,763,1198
1998/1999,Private,Tempo School ,9059,,,35,30,41,38,40,38,32,21,16,12,5,4,312
1998/1999,Private,Red Deer College Alumni Association ,9066,,32,,,,,,,,,,,,,32
1998/1999,Private,Calgary Society for Christian Education ,9067,,34,38,30,43,53,55,73,55,75,63,50,42,50,661
1998/1999,Private,Christopher Robin School Ltd. ,9070,,30,29,24,29,,,,,,,,,,112
1998/1999,Private,The Canadian Montessori Association(1983) ,9071,,17,63,54,72,52,32,36,13,14,10,9,12,4,388
1998/1999,Private,Strathcona-Tweedsmuir School ,9072,,,20,20,20,40,41,40,78,78,80,80,79,67,643
1998/1999,Private,Canadian Reformed School Society of Neerlandia ,9078,,,14,16,12,11,9,15,28,16,14,20,16,6,177
1998/1999,Private,Canadian Reformed School Society of Edmonton ,9092,,11,16,11,17,10,24,22,13,17,19,12,13,21,206
1998/1999,Private,Grant MacEwan (ASN) ,9098,,7,,,,,,,,,,,,,7
1998/1999,Private,Millwoods Christian School ,9105,,19,25,27,22,28,24,22,29,25,20,29,28,26,324
1998/1999,Private,Heritage Christian School Society ,9106,,36,38,40,35,38,34,27,26,30,17,14,15,,350
1998/1999,Private,Foothills Academy Society ,9107,,,,,5,13,10,12,18,22,27,25,11,13,156
1998/1999,Private,Grande Prairie and District Society for Christian Education ,9109,,25,16,11,15,17,13,6,12,11,13,3,7,3,152
1998/1999,Private,Christian Education Association of Alberta ,9110,,9,12,14,11,17,13,18,16,18,9,,,,137
1998/1999,Private,Calvin Christian School Society of the Netherlands Reformed Congregations ,9112,,54,64,61,61,59,53,43,48,47,36,29,22,29,606
1998/1999,Private,GCA Educational Society ,9118,,39,47,48,48,75,50,50,50,48,45,,,,500
1998/1999,Private,Lethbridge Christian School Society ,9120,,5,9,19,15,11,12,11,13,13,7,,,,115
1998/1999,Private,Word of Life School Society ,9127,,11,16,21,9,18,13,13,,,,,,,101
1998/1999,Private,The Calgary Society for Effective Education of Learning Disabled ,9131,86,,,,,9,16,27,60,75,57,57,74,41,502
1998/1999,Private,The Dante Alighieri Society ,9134,,,,,,,,,,,,,1,1,2
1998/1999,Private,Medicine Hat Christian School ,9137,,30,17,16,21,18,14,18,12,12,18,,,,176
1998/1999,Private,West Island College Society of Alberta ,9140,,,,,,,,,50,49,47,47,54,52,299
1998/1999,Private,Meadowlark Christian School ,9141,,31,35,36,38,37,37,39,31,35,20,,,,339
1998/1999,Private,"Evangelical Free Church of Champion, Alberta ",9146,,,18,15,11,18,26,17,12,12,7,9,7,6,158
1998/1999,Private,Congregation House of Jacob - Mikveh Israel ,9147,,17,15,13,16,8,11,6,3,7,,,,,96
1998/1999,Private,Lesser Slave Lake North Country Community Association ,9152,,,1,1,4,4,5,1,3,9,3,3,2,3,39
1998/1999,Private,Edmonton Bible Heritage Christian School & College Society ,9153,,,,,,,2,,1,,,,,,3
1998/1999,Private,Countryside Christian School ,9154,,,8,2,7,4,5,3,5,4,4,,,,42
1998/1999,Private,Lakeview Christian School ,9158,,,1,6,2,1,5,2,3,2,2,,,,24
1998/1999,Private,Kneehill Christian School ,9159,,,6,15,14,16,8,10,12,11,6,,,,98
1998/1999,Private,Northern Lights School Education Foundation ,9160,,,1,1,5,2,1,3,3,3,2,,,,21
1998/1999,Private,The Company of the Cross (Alberta) ,9162,,,,,,,,,9,18,23,31,15,7,103
1998/1999,Private,Stirling Mennonite Church Day School ,9163,,,,3,,2,2,1,3,,4,,,,15
1998/1999,Private,Truth Church of Calgary ,9166,,4,7,6,5,4,4,9,6,9,9,9,4,5,81
1998/1999,Private,Ponoka Christian School Society ,9167,,10,8,10,10,12,9,11,8,11,7,,,,96
1998/1999,Private,Living Faith Evangelistic Association ,9168,,,2,,1,4,,3,2,1,4,2,2,6,27
1998/1999,Private,Hillcrest Christian School Society ,9171,,3,6,2,3,6,5,1,2,4,9,10,5,,56
1998/1999,Private,Edmonton Academy Society for Learning Disabled ,9172,,,,,,1,2,4,2,8,9,10,7,5,48
1998/1999,Private,Lycee Louis Pasteur Society ,9173,,19,22,23,23,22,16,11,6,10,12,,,,164
1998/1999,Private,Menno Simons Educational Society of Calgary ,9179,,12,15,20,13,17,19,14,22,13,19,,,,164
1998/1999,Private,Cambridge College ,9184,,,,,,,,,,,,5,11,38,54
1998/1999,Private,Leduc Society for Christian Education ,9186,,15,13,23,14,11,12,15,14,25,15,,,,157
1998/1999,Private,St. Luke's Collegiate Institute Inc. ,9196,,,,,,,,,,,,33,31,19,83
1998/1999,Private,Koinonia Christian School - Red Deer Society ,9211,,20,16,16,21,17,20,17,11,17,12,9,4,10,190
1998/1999,Private,Olds Koinonia Christian School Society ,9213,,18,21,19,28,18,23,24,15,23,21,17,19,19,265
1998/1999,Private,Old Sun Community College ,9218,,,,,,,,,,,,12,18,30,60
1998/1999,Private,Calgary Waldorf School Society ,9224,,28,36,25,23,26,23,21,16,17,10,,,,225
1998/1999,Private,Progressive Academy Education Society ,9225,1,5,1,5,4,1,3,1,5,3,1,2,1,,33
1998/1999,Private,Mayerthorpe Baptist Church ,9227,,,2,,3,,2,,,,1,1,,1,10
1998/1999,Private,Rundle College Society ,9230,,,,,3,49,51,62,70,67,64,58,45,25,494
1998/1999,Private,Newell Christian School Society ,9250,,5,129,143,100,103,99,92,78,63,65,50,36,18,981
1998/1999,Private,Morinville Christian Fellowship ,9253,,,8,10,7,8,14,14,12,6,2,3,3,,87
1998/1999,Private,The Rimbey Christian School Society ,9254,,13,14,17,13,14,14,17,18,8,16,14,9,10,177
1998/1999,Private,The Cornerstone Christian Academy of Camrose ,9256,,7,7,4,5,7,4,2,7,7,4,6,3,4,67
1998/1999,Private,Red Crow Community College ,9261,,,,,,,4,,4,,28,67,55,64,222
1998/1999,Private,Elves Special Needs Society ,9263,,16,,8,5,8,,2,6,6,4,2,6,8,71
1998/1999,Private,Maranatha Christian Academy Fellowship ,9266,,5,4,3,3,4,,,,,,,,,19
1998/1999,Private,Edmonton Islamic School Society ,9269,,40,43,26,17,19,15,15,11,10,,,,,196
1998/1999,Private,Airdrie Koinonia Christian School Society ,9270,,20,29,24,31,20,22,18,16,18,5,11,5,9,228
1998/1999,Private,Bosco Homes ,9272,,,,,2,1,3,7,8,11,17,13,2,4,68
1998/1999,Private,The Life Values Society For Effective Education ,9276,,11,,1,1,2,4,4,6,7,6,2,1,,45
1998/1999,Private,Hellenic Society of Calgary and District ,9278,,,,,,,,,,,,3,,1,4
1998/1999,Private,383385 Alberta Ltd. ,9281,,13,13,11,4,7,7,4,,,,,,,59
1998/1999,Private,Alberta Centre for Chinese Studies ,9284,,,,,,,,,,,,,,1,1
1998/1999,Private,Central Alberta Christian High School Society ,9294,,,,,,,,,,,,44,39,42,125
1998/1999,Private,The Calgary Chinese Public School Society ,9296,,,,,,,,,,,,3,4,8,15
1998/1999,Private,Columbia College Corp. ,9298,,,,,1,,2,,4,,1,15,10,14,47
1998/1999,Private,Manning Adult Learning Centre ,9299,,,,,,,,,,,,79,,,79
1998/1999,Private,40-Mile Christian Education Society ,9302,,9,14,7,10,7,13,7,10,13,7,4,,,101
1998/1999,Private,Maskwachees Cultural College Foundation ,9308,,,,,,,,,,,,36,8,9,53
1998/1999,Private,Lakeland Christian School Society ,9312,,,2,,,3,1,,3,1,,2,,2,14
1998/1999,Private,Lighthouse Christian School Society ,9314,,4,34,33,28,26,28,25,16,11,11,4,4,1,225
1998/1999,Private,Greek Orthodox Community of Edmonton and District Society ,9315,,,,,,,,,,,,1,2,,3
1998/1999,Private,Devon Christian School Society ,9319,,8,4,6,6,4,3,1,3,2,2,,,,39
1998/1999,Private,North Calgary Christian Academy Foundation ,9325,,16,15,14,12,14,12,9,14,13,9,14,8,6,156
1998/1999,Private,Olds Mountain View Christian School Association ,9328,,1,,2,2,2,1,1,3,4,2,,,1,19
1998/1999,Private,Bowden Institution ,9330,,,,6,2,6,2,37,4,1,27,15,2,,102
1998/1999,Private,Echo Valley Church of God in Christ Mennonite ,9331,,,,1,4,2,2,1,,2,,,,,12
1998/1999,Private,Calgary International College ,9332,,,,,,,,,2,4,3,3,6,16,34
1998/1999,Private,Banff Mtn Ski Academy Society ,9334,,,,,,,,,,,3,6,8,6,23
1998/1999,Private,The North and Central Peace Christian School Society ,9335,,,1,,1,1,,1,2,1,3,,,,10
1998/1999,Private,Living Waters Christian  Academy ,9336,,7,6,9,9,5,3,5,1,5,6,,,,56
1998/1999,Private,Muslim Community Foundation of Calgary ,9337,,54,49,53,38,21,24,13,,,,,,,252
1998/1999,Private,Koinonia Christian Education Society ,9338,,15,14,13,12,14,17,16,12,17,7,13,2,4,156
1998/1999,Private,Living Springs Mennonite Church of Hythe ,9339,,,1,2,2,2,2,2,3,,2,,,,16
1998/1999,Private,Equilibrium International Education Foundation ,9343,,,,,,,,,,,,1,,120,121
1998/1999,Private,Brant Christian School Society ,9344,,14,9,10,8,17,11,9,13,15,9,10,,,125
1998/1999,Private,Universal Educational Institute of Canada ,9346,,17,5,7,4,4,7,3,2,2,4,2,1,,58
1998/1999,Private,Fort McMurray Christian School Society ,9349,,2,3,,2,3,2,8,3,4,,,,,27
1998/1999,Private,Lucy Baker School Society ,9351,,,,,,,,,,1,2,3,,3,9
1998/1999,Private,Edison School Society ,9352,,6,8,6,6,8,13,8,10,7,5,5,5,5,92
1998/1999,Private,Delta West Academy Society ,9353,,,1,4,4,2,4,3,12,9,7,7,3,4,60
1998/1999,Private,Cleardale Mennonite School Society ,9354,,,9,10,7,6,12,7,6,2,,,,,59
1998/1999,Private,Little Pony Private Institute of Fine Arts ,9356,,,,3,1,2,7,2,7,6,19,9,,,56
1998/1999,Private,The Learning Experience Society ,9363,,42,19,15,11,,,,,,,,,,87
1998/1999,Private,Educere Learning Society ,9364,,,,,,,,,,,,9,15,,24
1998/1999,Private,The Edmonton Lutheran School Society ,9365,,5,10,7,6,9,7,4,8,9,3,,,,68
1998/1999,Private,Victory Christian School Society ,9366,,7,7,11,7,9,6,12,13,17,11,13,7,3,123
1998/1999,Private,Prince of Peace Lutheran Church of Calgary ,9367,,9,17,20,21,13,20,21,22,24,16,15,13,8,219
1998/1999,Private,Calgary Chinese Cultural Centre Association ,9370,,,,,,,,,,,,1,,,1
1998/1999,Private,Edelweiss Preparatory School Society ,9374,,13,,,,,,,,,,,,,13
1998/1999,Private,The Heartland Agency ,9375,,54,,,,,,,,,,,,,54
1998/1999,Private,GRIT Calgary Society ,9376,,39,,,,,,,,,,,,,39
1998/1999,Private,Clear Water Academy Foundation ,9379,,19,14,14,6,8,8,5,10,2,6,,,1,93
1998/1999,Private,Alberta Conference of 7th Day Adventist Church ,9382,,14,74,50,61,70,82,65,77,63,58,22,11,13,660
1998/1999,Private,Alberta Charitable Society of St. Pius X ,9383,,8,11,9,12,3,11,8,10,3,9,5,6,6,101
1998/1999,Private,Diaspora Communications & Human Resources Institute Inc. ,9386,,,,,,,,,,,,2,5,12,19
1998/1999,Private,Coral Springs Child Care Society ,9388,,12,,,,,,,,,,,,,12
1998/1999,Private,Mirror ECS Society ,9392,,15,,,,,,,,,,,,,15
1998/1999,Private,Oliver School Center for Children ,9401,,39,,,,,,,,,,,,,39
1998/1999,Private,Renert Limited ,9402,,,,,,,,,,,,,,21,21
1998/1999,Private,Solomon Learning Institute ,9403,,,,,,,,,,,,1,,61,62
1998/1999,Private,Connections Canada College International ,9404,,,,,,,,,,,,54,,,54
